Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Guns N' Roses ,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303
The Neighbourhood ,R.I.P. 2 My Youth,07VBqWH6NG8L2ad3l84UKk,0.353,0.686,7,-5.704,0,0.0534,0.00216,0.0,0.123,0.177,94.47
Taylor Swift ,This Love (Taylor’s Version),5QVVjX0ZItqlVpEuVCM9Yg,0.474,0.511,1,-8.766,0,0.0339,0.299,0.0,0.0673,0.0586,144.022
Linkin Park ,Bleed It Out,0UFDKFqW2oGspYeYqo9wjA,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127
2 Chainz ,Saturday Night,5zlSTZhZq6rXL4Xn2PBayO,0.644,0.805,0,-4.513,0,0.0975,0.452,1e-05,0.11,0.461,115.915
G,Eazy  Sad Boy,3V8gULd6OJQ8myIO9ET23e,0.601,0.64,11,-8.4,0,0.234,0.0126,6.06e-06,0.114,0.27,161.947
Ed Sheeran ,Happier,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792
Elton John ,Tiny Dancer,2TVxnKdb3tqe1nhQWwwZCO,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075
R3HAB ,The Wave,4vAKVO4mqaVp3Lxbstl1tn,0.747,0.407,0,-7.466,1,0.0347,0.214,0.0,0.042,0.398,79.988
Offset ,54321,0iPb0dxCtjFcmFa2ElfBJ5,0.934,0.694,9,-4.455,0,0.175,0.117,0.0,0.239,0.464,129.028
Harry Styles ,Carolina,3Dwq1oiOFys6Sxr5SslmXw,0.624,0.673,4,-4.017,0,0.0268,0.000569,1.54e-06,0.104,0.458,121.986
Lizzo ,2 Be Loved (Am I Ready),13Irp51zj01BZu2XtDrnAg,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932
The Lumineers ,Left For Denver,6ZpbVWOyrNrTIQz2kZP3RS,0.737,0.118,5,-11.78,1,0.0338,0.908,5.21e-05,0.102,0.453,88.732
Why Don't We ,I Don't Belong In This Club,6N22Yl2nHPnksP1hu3mxJE,0.797,0.543,11,-5.744,1,0.0439,0.0202,0.0,0.0726,0.164,115.036
Billie Eilish ,TV,3GYlZ7tbxLOxe6ewMNVTkw,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214
Starley ,Call On Me  Ryan Riback Remix,2L6orAlH8tBhiFTumIfMyF,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.717,104.998
